u1	y1
-0.01000	954.85549	
-0.01000	951.72841	
-0.01000	963.15411	
-0.01000	979.01158	
-0.01000	976.15263	
-0.01000	935.27881	
-0.01000	893.45320	
-0.01000	869.03561	
-0.01000	887.77526	
-0.01000	877.63063	
-0.01000	879.93346	
-0.01000	889.17777	
-0.01000	850.54869	
-0.01000	871.22486	
-0.01000	844.38154	
-0.01000	827.97842	
-0.01000	807.82463	
-0.01000	758.09708	
-0.01000	761.79911	
-0.01000	785.90302	
-0.01000	793.47672	
-0.01000	822.91306	
-0.01000	828.73258	
-0.01000	832.19698	
-0.01000	838.71297	
-0.01000	814.83523	
-0.01000	820.24350	
-0.01000	820.65635	
-0.01000	848.08208	
-0.01000	852.13282	
-0.01000	811.04609	
-0.01000	805.02789	
-0.01000	800.29041	
-0.01000	803.10855	
-0.01000	796.36100	
-0.01000	791.02099	
-0.01000	813.21148	
-0.01000	810.52308	
-0.01000	843.22287	
-0.01000	835.44315	
-0.01000	825.70907	
-0.01000	824.15599	
-0.01000	844.58002	
-0.01000	876.47390	
-0.01000	872.65987	
-0.01000	837.59328	
-0.01000	855.61211	
-0.01000	880.37702	
-0.01000	904.47147	
-0.01000	893.45781	
-0.01000	887.60588	
-0.01000	872.55841	
-0.01000	884.79504	
-0.01000	888.16811	
-0.01000	908.81845	
-0.01000	925.70575	
-0.01000	933.74846	
-0.01000	924.07641	
-0.01000	926.19176	
-0.01000	935.38624	
-0.01000	934.12109	
-0.01000	948.44705	
-0.01000	898.99356	
-0.01000	872.25272	
-0.01000	852.88799	
-0.01000	863.54100	
-0.01000	855.56328	
-0.01000	880.18988	
-0.01000	882.15974	
-0.01000	890.12886	
-0.01000	854.64079	
-0.01000	873.97500	
-0.01000	851.10920	
-0.01000	836.48556	
-0.01000	831.44657	
-0.01000	835.70554	
-0.01000	846.42125	
-0.01000	886.46414	
-0.01000	885.68939	
-0.01000	889.05327	
-0.01000	891.00268	
-0.01000	919.97684	
-0.01000	919.73863	
-0.01000	890.34052	
-0.01000	876.90540	
-0.01000	850.04015	
-0.01000	843.88771	
-0.01000	843.35756	
-0.01000	855.37448	
-0.01000	827.74740	
-0.01000	827.30328	
-0.01000	811.56710	
-0.01000	780.59648	
-0.01000	773.71836	
-0.01000	775.30943	
-0.01000	782.94742	
-0.01000	764.55552	
-0.01000	772.55005	
-0.01000	793.58719	
-0.01000	812.48465	
-0.01000	819.81820	
-0.01000	818.92195	
-0.01000	809.08866	
-0.01000	826.65280	
-0.01000	831.65620	
-0.01000	847.67699	
-0.01000	831.90623	
-0.01000	783.37545	
-0.01000	770.98043	
-0.01000	759.19164	
-0.01000	742.29713	
-0.01000	729.55598	
-0.01000	762.30427	
-0.01000	742.86216	
-0.01000	737.20909	
-0.01000	709.84114	
-0.01000	702.95558	
-0.01000	711.46517	
-0.01000	702.08451	
-0.01000	708.26168	
-0.01000	683.40947	
-0.01000	692.51250	
-0.01000	732.04658	
-0.01000	721.83671	
0.01000	708.38958	
0.01000	714.06682	
0.01000	704.12074	
0.01000	723.51440	
0.01000	695.16865	
0.01000	693.56211	
0.01000	686.56303	
0.01000	695.84732	
0.01000	715.85593	
0.01000	702.46455	
0.01000	716.75777	
0.01000	710.78881	
0.01000	761.36111	
0.01000	755.32197	
0.01000	737.95498	
0.01000	722.04655	
0.01000	702.75537	
0.01000	727.97662	
0.01000	714.23934	
0.01000	721.90117	
0.01000	711.30907	
0.01000	730.51525	
0.01000	722.17624	
0.01000	708.44039	
0.01000	735.18365	
0.01000	751.42823	
0.01000	749.55573	
0.01000	728.76841	
0.01000	713.77188	
0.01000	734.18236	
0.01000	743.95428	
0.01000	722.95239	
0.01000	765.33969	
0.01000	770.87675	
0.01000	734.52457	
0.01000	744.99059	
0.01000	734.47865	
0.01000	757.34331	
0.01000	749.90543	
0.01000	738.92633	
0.01000	729.37627	
0.01000	751.51655	
0.01000	774.89846	
0.01000	786.00613	
0.01000	809.24701	
0.01000	800.91043	
0.01000	792.08778	
0.01000	779.09631	
0.01000	793.88145	
0.01000	837.70674	
0.01000	819.51403	
0.01000	828.34984	
0.01000	817.42314	
0.01000	832.35367	
0.01000	841.28723	
0.01000	822.64148	
0.01000	812.81620	
0.01000	835.59810	
0.01000	822.30712	
0.01000	778.16481	
0.01000	758.42944	
0.01000	739.58691	
0.01000	758.12399	
0.01000	775.91742	
0.01000	779.73437	
0.01000	739.54786	
0.01000	735.37262	
0.01000	766.90021	
0.01000	759.49171	
0.01000	740.55524	
0.01000	733.70368	
0.01000	733.98362	
0.01000	733.48097	
0.01000	762.32193	
0.01000	769.72218	
0.01000	779.93167	
